EMP_Id,Gender,Age_at_recruitment,Education_Level,Marital_Status_at_recruitment,Have_Children_at_recruitment,Work_Location,Office_Distance,Prior_Experience,No_of_Previous Employers,Interview result,Final test results, Initial Salary ,Direct_Indirect,Department,Religion,Meal Apply,JOB Grade,Last/Current Salary,Age,Marital_Status,Have_Children,Leaving Reason, Service Months ,Status_2021
412071,F,22,Secondary,SINGLE,NO CHILDEREN,PAN,14,0,0,5,5,17500,DIRECT,PRODUCTION,BUDDHISM,YES,D,17500,22,SINGLE,NO CHILDEREN,MEDICAL REASON,4,Inactive
412073,F,20,Secondary,MARRIED,NO CHILDEREN,PAN,15,0,0,5,5,17500,DIRECT,PRODUCTION,BUDDHISM,YES,D,17500,20,MARRIED,NO CHILDEREN,DISCIPLINARY ISSUE (AB),2,Inactive
412074,F,40,O/L,MARRIED,HAVE CHILDREN,PAN,16,18,5,3,3,25900,DIRECT,PRODUCTION,BUDDHISM,YES,B,26900,40,MARRIED,HAVE CHILDREN,TO TAKE CARE OF FAMILY,2,Inactive
412082,F,18,Secondary,SINGLE,NO CHILDEREN,PAN,17,0,0,4,5,17500,DIRECT,PRODUCTION,BUDDHISM,YES,C,18000,18,SINGLE,NO CHILDEREN,HIGHER EDUCATION,5,Inactive
412087,F,39,Secondary,MARRIED,HAVE CHILDREN,PAN,11,0,0,4,5,17500,INDIRECT,FINISHING,BUDDHISM,YES,D,17500,39,MARRIED,HAVE CHILDREN,TO LOOK AFTER BABY,1,Inactive
412089,M,26,O/L,SINGLE,NO CHILDEREN,PAN,16,6,2,1,1,28300,INDIRECT,QUALITY ASSURANCE,BUDDHISM,YES,A,31300,27,SINGLE,NO CHILDEREN, -   ,18,Active
412095,F,17,Secondary,SINGLE,NO CHILDEREN,PAN,14,0,0,5,5,17500,DIRECT,PRODUCTION,HINDUISM,YES,C,18000,17,SINGLE,NO CHILDEREN,DESIRE TO STAY AT HOME,5,Inactive
412101,F,19,Secondary,SINGLE,NO CHILDEREN,PAN,11,0,0,5,5,17500,DIRECT,PRODUCTION,HINDUISM,YES,D,17500,19,SINGLE,NO CHILDEREN,DISCIPLINARY ISSUE (AB),11,Inactive
412107,F,23,O/L,MARRIED,HAVE CHILDREN,PAN,16,0,0,5,4,23000,DIRECT,PRODUCTION,HINDUISM,YES,C,23500,23,MARRIED,HAVE CHILDREN,DISCIPLINARY ISSUE (AB),6,Inactive
412109,F,36,O/L,MARRIED,HAVE CHILDREN,PAN,14,14,4,3,2,27700,DIRECT,PRODUCTION,BUDDHISM,YES,B,32700,38,MARRIED,HAVE CHILDREN,MEDICAL REASON,27,Inactive
412112,F,21,O/L,MARRIED,NO CHILDEREN,PAN,15,0,0,5,4,23000,DIRECT,PRODUCTION,HINDUISM,YES,C,23500,21,MARRIED,HAVE CHILDREN,TO LOOK AFTER BABY,8,Inactive
412117,F,23,O/L,MARRIED,HAVE CHILDREN,PAN,16,1,2,3,2,27050,DIRECT,PRODUCTION,BUDDHISM,YES,B,28050,23,MARRIED,HAVE CHILDREN,FAMILY RESTRICTION,1,Inactive
412118,F,18,Secondary,SINGLE,NO CHILDEREN,PAN,17,0,0,5,5,17500,INDIRECT,TRAINING SCHOOL,BUDDHISM,YES,D,17500,18,SINGLE,NO CHILDEREN,MEDICAL REASON,1,Inactive
412120,F,32,Secondary,MARRIED,HAVE CHILDREN,PAN,15,0,0,5,5,17500,INDIRECT,TRAINING SCHOOL,BUDDHISM,YES,D,17500,32,MARRIED,HAVE CHILDREN,TO LOOK AFTER BABY,1,Inactive
412121,F,19,O/L,SINGLE,NO CHILDEREN,PAN,16,0,0,5,4,23000,DIRECT,PRODUCTION,BUDDHISM,YES,C,24500,20,SINGLE,NO CHILDEREN,DISCIPLINARY ISSUE (AB),19,Inactive
412122,F,22,Secondary,SINGLE,NO CHILDEREN,PAN,17,0,0,5,5,17500,DIRECT,PRODUCTION,BUDDHISM,YES,D,17500,22,SINGLE,NO CHILDEREN,DESIRE TO STAY AT HOME,2,Inactive
412131,F,19,Secondary,MARRIED,NO CHILDEREN,PAN,20,0,0,4,5,17500,DIRECT,PRODUCTION,BUDDHISM,YES,D,17500,19,MARRIED,NO CHILDEREN,BETTER WORK OPPORTUNITY,2,Inactive
412139,F,30,O/L,MARRIED,HAVE CHILDREN,PAN,13,10,3,1,1,28500,DIRECT,PRODUCTION,BUDDHISM,YES,A,30500,30,MARRIED,HAVE CHILDREN, -   ,4,Active
412146,F,20,Secondary,SINGLE,NO CHILDEREN,PAN,14,0,0,4,5,17500,DIRECT,PRODUCTION,BUDDHISM,YES,D,17500,20,SINGLE,NO CHILDEREN,DISCIPLINARY ISSUE (AB),2,Inactive
412151,F,27,O/L,SINGLE,NO CHILDEREN,PAN,15,5,2,3,3,25250,DIRECT,PRODUCTION,BUDDHISM,YES,B,26250,27,SINGLE,NO CHILDEREN,MEDICAL REASON,1,Inactive
412152,F,20,O/L,MARRIED,NO CHILDEREN,PAN,14,0,0,5,4,23000,DIRECT,PRODUCTION,BUDDHISM,YES,C,23500,20,MARRIED,NO CHILDEREN,DISCIPLINARY ISSUE (AB),7,Inactive
412157,F,19,Secondary,SINGLE,NO CHILDEREN,PAN,11,0,0,5,5,17500,DIRECT,PRODUCTION,BUDDHISM,YES,D,17500,19,SINGLE,NO CHILDEREN,DISCIPLINARY ISSUE (AB),7,Inactive
412162,F,18,Secondary,SINGLE,NO CHILDEREN,PAN,16,0,0,3,4,23000,DIRECT,PRODUCTION,BUDDHISM,YES,B,24000,18,SINGLE,NO CHILDEREN,MEDICAL REASON,7,Inactive
412163,F,22,O/L,MARRIED,HAVE CHILDREN,PAN,14,1,2,3,3,25050,DIRECT,PRODUCTION,BUDDHISM,YES,B,26050,22,MARRIED,HAVE CHILDREN,DISCIPLINARY ISSUE (AB),1,Inactive
412164,M,18,Secondary,SINGLE,NO CHILDEREN,PAN,11,0,0,3,4,23000,INDIRECT,CUTTING,BUDDHISM,YES,B,24000,18,SINGLE,NO CHILDEREN,MEDICAL REASON,8,Inactive
412166,M,18,O/L,SINGLE,NO CHILDEREN,PAN,16,0,0,3,4,23000,INDIRECT,WAREHOUSE,HINDUISM,YES,B,25000,19,SINGLE,NO CHILDEREN,DISCIPLINARY ISSUE (AB),10,Inactive
412168,F,19,O/L,SINGLE,NO CHILDEREN,PAN,14,0,0,5,4,23000,DIRECT,PRODUCTION,BUDDHISM,YES,C,23500,19,SINGLE,NO CHILDEREN,MEDICAL REASON,3,Inactive
412169,F,22,Secondary,MARRIED,HAVE CHILDREN,PAN,15,0,0,5,5,17500,INDIRECT,TRAINING SCHOOL,BUDDHISM,YES,D,17500,22,MARRIED,HAVE CHILDREN,TO LOOK AFTER BABY,1,Inactive
412172,M,18,Secondary,SINGLE,NO CHILDEREN,PAN,16,0,0,5,5,17500,INDIRECT,TRAINING SCHOOL,BUDDHISM,YES,D,17500,18,SINGLE,NO CHILDEREN,DESIRE TO STAY AT HOME,1,Inactive
412176,F,25,O/L,MARRIED,HAVE CHILDREN,PAN,17,1,2,3,3,25050,DIRECT,PRODUCTION,BUDDHISM,YES,B,26050,25,MARRIED,HAVE CHILDREN,DISCIPLINARY ISSUE (AB),6,Inactive
412177,F,36,O/L,MARRIED,HAVE CHILDREN,PAN,15,13,4,3,4,23650,DIRECT,PRODUCTION,HINDUISM,YES,C,28150,38,MARRIED,HAVE CHILDREN,FAMILY RESTRICTION,22,Inactive
412179,F,20,O/L,MARRIED,NO CHILDEREN,PAN,16,0,0,5,4,23000,DIRECT,PRODUCTION,BUDDHISM,YES,C,23500,20,MARRIED,NO CHILDEREN,DISCIPLINARY ISSUE (AB),4,Inactive
412183,F,25,O/L,SINGLE,NO CHILDEREN,PAN,17,0,0,4,4,23000,DIRECT,PRODUCTION,BUDDHISM,YES,C,23500,25,SINGLE,NO CHILDEREN,BETTER WORK OPPORTUNITY,4,Inactive
412185,M,21,Secondary,SINGLE,NO CHILDEREN,PAN,20,0,0,4,5,17500,INDIRECT,CUTTING,HINDUISM,YES,D,17500,21,SINGLE,NO CHILDEREN,DISCIPLINARY ISSUE (AB),3,Inactive
412188,F,30,Secondary,MARRIED,HAVE CHILDREN,PAN,13,0,0,4,5,17500,DIRECT,PRODUCTION,HINDUISM,YES,D,17500,30,MARRIED,HAVE CHILDREN,DISCIPLINARY ISSUE (AB),2,Inactive
412190,F,28,O/L,MARRIED,HAVE CHILDREN,PAN,14,6,2,3,3,25300,DIRECT,PRODUCTION,CHRISTIANITY,YES,B,27300,29,MARRIED,HAVE CHILDREN,FAMILY RESTRICTION,15,Inactive
412193,F,40,O/L,MARRIED,HAVE CHILDREN,PAN,15,20,5,1,1,29000,DIRECT,PRODUCTION,BUDDHISM,YES,A,31000,40,MARRIED,HAVE CHILDREN, -   ,6,Active
412196,F,27,Secondary,MARRIED,HAVE CHILDREN,PAN,14,0,0,5,5,17500,DIRECT,PRODUCTION,BUDDHISM,YES,D,17500,27,MARRIED,HAVE CHILDREN,DISCIPLINARY ISSUE (AB),2,Inactive
412203,F,28,O/L,MARRIED,HAVE CHILDREN,PAN,11,6,2,3,3,25300,DIRECT,PRODUCTION,BUDDHISM,YES,B,27300,29,MARRIED,HAVE CHILDREN,TO LOOK AFTER BABY,10,Inactive
412209,M,20,Secondary,SINGLE,NO CHILDEREN,PAN,16,0,0,5,5,17500,INDIRECT,CUTTING,BUDDHISM,YES,D,17500,20,SINGLE,NO CHILDEREN,DISCIPLINARY ISSUE (AB),1,Inactive
412210,F,40,O/L,MARRIED,HAVE CHILDREN,PAN,14,20,5,1,1,29000,DIRECT,PRODUCTION,BUDDHISM,YES,A,35000,42,MARRIED,HAVE CHILDREN, -   ,20,Active
412215,F,28,Secondary,MARRIED,HAVE CHILDREN,PAN,15,0,0,5,5,17500,DIRECT,PRODUCTION,HINDUISM,YES,D,17500,28,MARRIED,HAVE CHILDREN,DISCIPLINARY ISSUE (AB),2,Inactive
412218,M,19,O/L,SINGLE,NO CHILDEREN,PAN,11,0,0,2,1,28000,INDIRECT,CUTTING,BUDDHISM,YES,A,31000,20,SINGLE,NO CHILDEREN, -   ,9,Active
412229,F,27,O/L,MARRIED,HAVE CHILDREN,PAN,16,5,2,3,3,25250,DIRECT,PRODUCTION,HINDUISM,YES,B,26250,27,MARRIED,HAVE CHILDREN,DISCIPLINARY ISSUE (AB),4,Inactive
412233,M,25,O/L,SINGLE,NO CHILDEREN,PAN,14,1,2,4,3,25050,DIRECT,PRODUCTION,BUDDHISM,YES,B,26050,25,SINGLE,NO CHILDEREN,FOREIGN EMPLOYMENT OPPORTUNITY,3,Inactive
412238,F,22,Secondary,SINGLE,NO CHILDEREN,PAN,15,0,0,4,5,17500,DIRECT,PRODUCTION,HINDUISM,YES,D,17500,22,SINGLE,NO CHILDEREN,DISCIPLINARY ISSUE (AB),4,Inactive
412242,F,24,O/L,MARRIED,HAVE CHILDREN,PAN,16,0,0,5,4,23000,DIRECT,PRODUCTION,HINDUISM,YES,C,24500,25,MARRIED,HAVE CHILDREN,FAMILY RESTRICTION,8,Inactive
412243,F,21,O/L,MARRIED,NO CHILDEREN,PAN,17,0,0,5,4,23000,DIRECT,PRODUCTION,BUDDHISM,YES,C,23500,21,MARRIED,HAVE CHILDREN,TO LOOK AFTER BABY,2,Inactive
412245,F,26,Secondary,MARRIED,HAVE CHILDREN,PAN,15,0,0,5,5,17500,DIRECT,PRODUCTION,BUDDHISM,YES,D,17500,26,MARRIED,HAVE CHILDREN,TO LOOK AFTER BABY,1,Inactive
412248,F,28,O/L,MARRIED,HAVE CHILDREN,PAN,16,8,2,1,1,28400,INDIRECT,FINISHING,HINDUISM,YES,A,34400,30,MARRIED,HAVE CHILDREN, -   ,22,Active
412249,M,20,O/L,SINGLE,NO CHILDEREN,PAN,17,0,0,5,4,23000,INDIRECT,CUTTING,BUDDHISM,YES,C,23500,20,SINGLE,NO CHILDEREN,DISCIPLINARY ISSUE (AB),2,Inactive
412251,F,20,Secondary,SINGLE,NO CHILDEREN,PAN,20,0,0,5,5,17500,DIRECT,PRODUCTION,HINDUISM,YES,D,18500,21,SINGLE,NO CHILDEREN,DISCIPLINARY ISSUE (AB),9,Inactive
412252,F,24,O/L,MARRIED,HAVE CHILDREN,PAN,13,2,1,1,1,28100,DIRECT,PRODUCTION,HINDUISM,YES,A,31100,25,MARRIED,HAVE CHILDREN, -   ,16,Active
412253,F,24,O/L,MARRIED,HAVE CHILDREN,PAN,14,2,1,1,1,28100,DIRECT,PRODUCTION,BUDDHISM,YES,A+,32600,25,MARRIED,HAVE CHILDREN, -   ,16,Active
412254,F,27,O/L,MARRIED,HAVE CHILDREN,PAN,15,7,2,1,1,28350,DIRECT,PRODUCTION,BUDDHISM,YES,A+,31850,27,MARRIED,HAVE CHILDREN, -   ,4,Active
412257,F,21,O/L,MARRIED,NO CHILDEREN,PAN,14,0,0,3,3,25000,DIRECT,PRODUCTION,HINDUISM,YES,B,30000,23,MARRIED,NO CHILDEREN,RESIDENCIAL RELOCATION,20,Inactive
412263,F,18,Secondary,SINGLE,NO CHILDEREN,PAN,15,0,0,3,4,23000,DIRECT,PRODUCTION,BUDDHISM,YES,B,25000,19,SINGLE,NO CHILDEREN,MEDICAL REASON,14,Inactive
412264,F,21,O/L,MARRIED,NO CHILDEREN,PAN,16,0,0,3,3,25000,DIRECT,PRODUCTION,HINDUISM,YES,B,26000,21,MARRIED,HAVE CHILDREN,TO LOOK AFTER BABY,1,Inactive
412272,F,22,Secondary,MARRIED,HAVE CHILDREN,PAN,17,0,0,4,5,17500,DIRECT,PRODUCTION,HINDUISM,YES,D,17500,22,MARRIED,HAVE CHILDREN,FAMILY RESTRICTION,3,Inactive
412277,F,37,Secondary,SINGLE,NO CHILDEREN,PAN,20,0,0,4,5,17500,DIRECT,PRODUCTION,HINDUISM,YES,D,17500,37,SINGLE,NO CHILDEREN,MEDICAL REASON,5,Inactive
412281,F,38,O/L,MARRIED,HAVE CHILDREN,PAN,11,16,4,3,3,25800,DIRECT,PRODUCTION,HINDUISM,YES,B,27800,39,MARRIED,HAVE CHILDREN,TO LOOK AFTER BABY,10,Inactive
412282,M,18,O/L,SINGLE,NO CHILDEREN,PAN,16,0,0,3,4,23000,INDIRECT,WAREHOUSE,BUDDHISM,YES,B,25000,19,SINGLE,NO CHILDEREN,BETTER WORK OPPORTUNITY,7,Inactive
412285,F,27,O/L,MARRIED,HAVE CHILDREN,PAN,14,7,2,1,1,28350,INDIRECT,FINISHING,BUDDHISM,YES,A,30350,27,MARRIED,HAVE CHILDREN, -   ,5,Active
412294,F,26,Secondary,MARRIED,HAVE CHILDREN,PAN,15,0,0,5,5,17500,INDIRECT,TRAINING SCHOOL,BUDDHISM,YES,D,17500,26,MARRIED,HAVE CHILDREN,TO LOOK AFTER BABY,3,Inactive
412295,F,23,O/L,MARRIED,HAVE CHILDREN,PAN,11,0,0,5,4,23000,DIRECT,PRODUCTION,HINDUISM,YES,C,23500,23,MARRIED,HAVE CHILDREN,TO LOOK AFTER BABY,1,Inactive
412297,F,21,O/L,MARRIED,NO CHILDEREN,PAN,16,0,0,5,4,23000,DIRECT,PRODUCTION,BUDDHISM,YES,C,23500,21,MARRIED,NO CHILDEREN,DUE TO PREGNANCY,5,Inactive
412299,F,25,O/L,MARRIED,HAVE CHILDREN,PAN,14,1,2,3,3,25050,DIRECT,PRODUCTION,HINDUISM,YES,B,27050,26,MARRIED,HAVE CHILDREN,DUE TO PREGNANCY,17,Inactive
412302,F,30,O/L,MARRIED,HAVE CHILDREN,PAN,15,8,2,3,3,25400,DIRECT,PRODUCTION,BUDDHISM,YES,B,27400,31,MARRIED,HAVE CHILDREN,TO LOOK AFTER BABY,10,Inactive
412304,F,30,O/L,SINGLE,NO CHILDEREN,PAN,16,7,2,3,4,23350,DIRECT,PRODUCTION,BUDDHISM,YES,C,24850,31,SINGLE,NO CHILDEREN,DESIRE TO STAY AT HOME,5,Inactive
412305,F,27,Secondary,MARRIED,HAVE CHILDREN,PAN,17,0,0,5,5,17500,INDIRECT,TRAINING SCHOOL,HINDUISM,YES,D,17500,27,MARRIED,HAVE CHILDREN,DISCIPLINARY ISSUE (AB),2,Inactive
412308,F,20,Secondary,SINGLE,NO CHILDEREN,PAN,15,0,0,5,5,17500,INDIRECT,TRAINING SCHOOL,HINDUISM,YES,D,17500,20,SINGLE,NO CHILDEREN,DISCIPLINARY ISSUE (AB),1,Inactive
412310,F,25,Secondary,MARRIED,HAVE CHILDREN,PAN,16,0,0,5,5,17500,INDIRECT,TRAINING SCHOOL,BUDDHISM,YES,D,17500,25,MARRIED,HAVE CHILDREN,TO LOOK AFTER BABY,1,Inactive
412318,F,33,Secondary,MARRIED,HAVE CHILDREN,PAN,17,0,0,5,5,17500,INDIRECT,TRAINING SCHOOL,BUDDHISM,YES,D,17500,33,MARRIED,HAVE CHILDREN,DISCIPLINARY ISSUE (AB),1,Inactive
412322,F,36,O/L,MARRIED,HAVE CHILDREN,PAN,20,16,4,1,1,28800,DIRECT,PRODUCTION,HINDUISM,YES,A,31800,37,MARRIED,HAVE CHILDREN, -   ,7,Active
412324,F,23,O/L,MARRIED,HAVE CHILDREN,PAN,13,1,2,3,3,25050,DIRECT,PRODUCTION,HINDUISM,YES,B,27050,24,MARRIED,HAVE CHILDREN,FAMILY RESTRICTION,5,Inactive
412327,F,19,O/L,SINGLE,NO CHILDEREN,PAN,14,0,0,4,4,23000,DIRECT,PRODUCTION,BUDDHISM,YES,C,23500,19,SINGLE,NO CHILDEREN,DISCIPLINARY ISSUE (AB),3,Inactive
412328,F,20,Secondary,SINGLE,NO CHILDEREN,PAN,15,0,0,4,5,17500,DIRECT,PRODUCTION,HINDUISM,YES,D,17500,20,SINGLE,NO CHILDEREN,DESIRE TO STAY AT HOME,2,Inactive
412329,F,27,O/L,MARRIED,HAVE CHILDREN,PAN,14,4,6,3,4,23200,DIRECT,PRODUCTION,HINDUISM,YES,C,24700,28,MARRIED,HAVE CHILDREN,DISCIPLINARY ISSUE (AB),9,Inactive
412331,F,20,Secondary,MARRIED,NO CHILDEREN,PAN,11,0,0,4,5,17500,DIRECT,PRODUCTION,BUDDHISM,YES,D,18500,21,MARRIED,NO CHILDEREN,TO TAKE CARE OF FAMILY,14,Inactive
412332,F,25,Secondary,MARRIED,HAVE CHILDREN,PAN,16,0,0,4,5,17500,INDIRECT,TRAINING SCHOOL,HINDUISM,YES,D,17500,25,MARRIED,HAVE CHILDREN,DESIRE TO STAY AT HOME,1,Inactive
412347,F,36,Secondary,MARRIED,HAVE CHILDREN,PAN,14,0,0,5,5,17500,INDIRECT,TRAINING SCHOOL,BUDDHISM,YES,D,17500,36,MARRIED,HAVE CHILDREN,DISCIPLINARY ISSUE (AB),1,Inactive
412355,F,22,Secondary,MARRIED,HAVE CHILDREN,PAN,15,0,0,5,5,17500,INDIRECT,TRAINING SCHOOL,BUDDHISM,YES,D,17500,22,MARRIED,HAVE CHILDREN,DISCIPLINARY ISSUE (AB),2,Inactive
412361,F,22,Secondary,SINGLE,NO CHILDEREN,PAN,16,0,0,5,5,17500,INDIRECT,TRAINING SCHOOL,HINDUISM,YES,D,17500,22,SINGLE,NO CHILDEREN,DISCIPLINARY ISSUE (AB),1,Inactive
412362,F,34,O/L,MARRIED,HAVE CHILDREN,PAN,17,14,4,2,1,28700,DIRECT,PRODUCTION,BUDDHISM,YES,A+,33200,35,MARRIED,HAVE CHILDREN, -   ,8,Active
412365,F,20,O/L,MARRIED,NO CHILDEREN,PAN,15,0,0,5,4,23000,DIRECT,PRODUCTION,BUDDHISM,YES,C,24500,21,MARRIED,NO CHILDEREN,DUE TO PREGNANCY,7,Inactive
412381,F,19,Secondary,SINGLE,NO CHILDEREN,PAN,16,0,0,5,5,17500,INDIRECT,TRAINING SCHOOL,HINDUISM,YES,D,17500,19,SINGLE,NO CHILDEREN,DISCIPLINARY ISSUE (AB),1,Inactive
412390,F,18,Secondary,SINGLE,NO CHILDEREN,PAN,17,0,0,5,5,17500,INDIRECT,TRAINING SCHOOL,BUDDHISM,YES,D,17500,18,SINGLE,NO CHILDEREN,DISCIPLINARY ISSUE (AB),1,Inactive
412391,F,18,Secondary,SINGLE,NO CHILDEREN,PAN,20,0,0,5,5,17500,INDIRECT,TRAINING SCHOOL,HINDUISM,YES,D,17500,18,SINGLE,NO CHILDEREN,DISCIPLINARY ISSUE (AB),1,Inactive
412392,M,21,O/L,SINGLE,NO CHILDEREN,PAN,13,0,0,3,3,25000,INDIRECT,CUTTING,BUDDHISM,YES,B,27000,22,SINGLE,NO CHILDEREN,DISCIPLINARY ISSUE (AB),3,Inactive
412395,F,24,O/L,MARRIED,HAVE CHILDREN,PAN,14,0,0,4,4,23000,DIRECT,PRODUCTION,HINDUISM,YES,C,27500,26,MARRIED,HAVE CHILDREN,TO TAKE CARE OF FAMILY,16,Inactive
412397,F,20,Secondary,MARRIED,NO CHILDEREN,PAN,15,0,0,4,5,17500,DIRECT,PRODUCTION,HINDUISM,YES,D,18500,21,MARRIED,NO CHILDEREN,BETTER WORK OPPORTUNITY,2,Inactive
412402,F,30,Secondary,MARRIED,HAVE CHILDREN,PAN,14,0,0,4,5,17500,INDIRECT,TRAINING SCHOOL,HINDUISM,YES,D,17500,30,MARRIED,HAVE CHILDREN,DISCIPLINARY ISSUE (AB),1,Inactive
412407,F,26,Secondary,MARRIED,HAVE CHILDREN,PAN,15,0,0,4,5,17500,INDIRECT,TRAINING SCHOOL,BUDDHISM,YES,D,17500,26,MARRIED,HAVE CHILDREN,DISCIPLINARY ISSUE (AB),1,Inactive
412418,F,32,O/L,MARRIED,HAVE CHILDREN,PAN,16,9,3,3,4,23450,DIRECT,PRODUCTION,BUDDHISM,YES,C,24950,33,MARRIED,HAVE CHILDREN,FAMILY RESTRICTION,3,Inactive
412422,M,21,O/L,SINGLE,NO CHILDEREN,PAN,17,0,0,2,1,28000,INDIRECT,CUTTING,BUDDHISM,YES,A,31000,22,SINGLE,NO CHILDEREN, -   ,8,Active
412426,F,20,Secondary,SINGLE,NO CHILDEREN,PAN,11,0,0,5,5,20500,INDIRECT,CUTTING,HINDUISM,YES,D,20500,20,SINGLE,NO CHILDEREN,DISCIPLINARY ISSUE (AB),2,Inactive
412428,F,33,O/L,MARRIED,HAVE CHILDREN,PAN,16,10,3,3,4,24500,DIRECT,PRODUCTION,BUDDHISM,YES,C,25000,33,MARRIED,HAVE CHILDREN,COMPANY RESTRUCTURING ISSUE,3,Inactive
412432,F,24,O/L,SINGLE,NO CHILDEREN,PAN,14,0,0,5,4,24000,DIRECT,PRODUCTION,HINDUISM,YES,C,24500,24,SINGLE,NO CHILDEREN,COMPANY RESTRUCTURING ISSUE,3,Inactive
412433,F,24,O/L,MARRIED,HAVE CHILDREN,PAN,15,0,0,5,4,24000,DIRECT,PRODUCTION,HINDUISM,YES,C,24500,24,MARRIED,HAVE CHILDREN,DISCIPLINARY ISSUE (AB),1,Inactive
412438,M,22,Secondary,SINGLE,NO CHILDEREN,PAN,16,1,2,5,5,20550,INDIRECT,QUALITY ASSURANCE,BUDDHISM,YES,D,20550,22,SINGLE,NO CHILDEREN,COMPANY RESTRUCTURING ISSUE,3,Inactive
412440,F,26,O/L,MARRIED,HAVE CHILDREN,PAN,17,3,1,5,4,24150,DIRECT,PRODUCTION,HINDUISM,YES,C,24650,26,MARRIED,HAVE CHILDREN,COMPANY RESTRUCTURING ISSUE,3,Inactive
412442,F,21,Secondary,MARRIED,NO CHILDEREN,PAN,11,0,0,4,5,20500,DIRECT,PRODUCTION,HINDUISM,YES,D,20500,21,MARRIED,NO CHILDEREN,COMPANY RESTRUCTURING ISSUE,3,Inactive
412443,F,26,O/L,MARRIED,HAVE CHILDREN,PAN,16,3,6,5,4,24150,DIRECT,PRODUCTION,HINDUISM,YES,C,24650,26,MARRIED,HAVE CHILDREN,COMPANY RESTRUCTURING ISSUE,3,Inactive
412444,F,19,Secondary,SINGLE,NO CHILDEREN,PAN,14,0,0,4,5,20500,DIRECT,PRODUCTION,HINDUISM,YES,D,20500,19,SINGLE,NO CHILDEREN,COMPANY RESTRUCTURING ISSUE,3,Inactive
412447,M,21,Secondary,SINGLE,NO CHILDEREN,PAN,15,0,0,5,5,20500,INDIRECT,QUALITY ASSURANCE,BUDDHISM,YES,D,20500,21,SINGLE,NO CHILDEREN,COMPANY RESTRUCTURING ISSUE,3,Inactive
412449,M,26,O/L,MARRIED,HAVE CHILDREN,PAN,16,4,2,3,3,26200,DIRECT,PRODUCTION,BUDDHISM,YES,B,27200,26,MARRIED,HAVE CHILDREN, -   ,3,Active
412456,F,32,Secondary,MARRIED,HAVE CHILDREN,PAN,17,0,0,5,5,20500,DIRECT,PRODUCTION,BUDDHISM,YES,D,20500,32,MARRIED,HAVE CHILDREN,COMPANY RESTRUCTURING ISSUE,2,Inactive
412457,F,18,Secondary,SINGLE,NO CHILDEREN,PAN,15,0,0,5,5,20500,DIRECT,PRODUCTION,BUDDHISM,YES,D,20500,18,SINGLE,NO CHILDEREN,COMPANY RESTRUCTURING ISSUE,2,Inactive
412458,F,29,O/L,MARRIED,HAVE CHILDREN,PAN,16,6,2,3,4,24300,DIRECT,PRODUCTION,BUDDHISM,YES,C,24800,29,MARRIED,HAVE CHILDREN,COMPANY RESTRUCTURING ISSUE,2,Inactive
412464,F,20,O/L,SINGLE,NO CHILDEREN,PAN,17,0,0,4,4,24000,DIRECT,PRODUCTION,BUDDHISM,YES,C,24500,20,SINGLE,NO CHILDEREN,COMPANY RESTRUCTURING ISSUE,2,Inactive
412466,F,33,Secondary,MARRIED,HAVE CHILDREN,PAN,20,0,0,4,5,20500,DIRECT,PRODUCTION,BUDDHISM,YES,D,20500,33,MARRIED,HAVE CHILDREN,COMPANY RESTRUCTURING ISSUE,2,Inactive
412467,F,39,O/L,MARRIED,HAVE CHILDREN,PAN,13,16,4,3,4,24800,DIRECT,PRODUCTION,HINDUISM,YES,C,25300,39,MARRIED,HAVE CHILDREN,COMPANY RESTRUCTURING ISSUE,2,Inactive
412468,F,21,O/L,MARRIED,NO CHILDEREN,PAN,14,0,0,4,4,24000,DIRECT,PRODUCTION,BUDDHISM,YES,C,24500,21,MARRIED,NO CHILDEREN,COMPANY RESTRUCTURING ISSUE,2,Inactive
412469,F,19,O/L,SINGLE,NO CHILDEREN,PAN,15,0,0,4,4,24000,DIRECT,PRODUCTION,BUDDHISM,YES,C,24500,19,SINGLE,NO CHILDEREN,COMPANY RESTRUCTURING ISSUE,2,Inactive
412470,F,28,O/L,MARRIED,HAVE CHILDREN,PAN,14,8,2,1,1,30400,DIRECT,PRODUCTION,BUDDHISM,YES,A+,33900,28,MARRIED,HAVE CHILDREN, -   ,4,Active
412475,M,20,A/L,SINGLE,NO CHILDEREN,PAN,15,0,0,5,5,20500,INDIRECT,WAREHOUSE,BUDDHISM,YES,D,20500,20,SINGLE,NO CHILDEREN,COMPANY RESTRUCTURING ISSUE,2,Inactive
412476,M,19,O/L,SINGLE,NO CHILDEREN,PAN,16,0,0,5,5,20500,INDIRECT,WAREHOUSE,HINDUISM,YES,D,20500,19,SINGLE,NO CHILDEREN,COMPANY RESTRUCTURING ISSUE,2,Inactive
412478,F,20,Secondary,MARRIED,NO CHILDEREN,PAN,11,0,0,5,5,20500,DIRECT,PRODUCTION,BUDDHISM,YES,D,20500,20,MARRIED,NO CHILDEREN,COMPANY RESTRUCTURING ISSUE,2,Inactive
412479,F,18,Secondary,SINGLE,NO CHILDEREN,PAN,16,0,0,5,5,20500,DIRECT,PRODUCTION,HINDUISM,YES,D,20500,18,SINGLE,NO CHILDEREN,COMPANY RESTRUCTURING ISSUE,2,Inactive
